Date,Time,M
03-05-19,23:56,3.9
02-05-19,14:48,3.4
01-05-19,20:51,3.4
28-04-19,16:53,3.6
28-04-19,10:49,3.8
28-04-19,5:57,2.7
24-04-19,22:58,3.8
23-04-19,23:23,3.9
23-04-19,21:24,3.7
23-04-19,14:22,3.1
19-04-19,13:23,2.9
19-04-19,8:45,3
19-04-19,5:02,3
18-04-19,19:11,2.3
17-04-19,20:37,3.7
17-04-19,11:35,2.5
16-04-19,11:44,3.4
15-04-19,21:54,3.2
15-04-19,9:51,4
12-04-19,6:09,2.9
11-04-19,7:15,3.4
10-04-19,17:37,4.8
09-04-19,19:43,3
07-04-19,5:37,3.7
04-04-19,23:32,2.8
03-04-19,4:24,2.2
03-04-19,1:10,2.9
01-04-19,16:06,2.9
31-03-19,5:00,3
30-03-19,21:04,2.7
30-03-19,10:22,3.5
30-03-19,4:54,3.9
28-03-19,16:52,3.1
28-03-19,7:54,2.2
28-03-19,0:24,3.6
25-03-19,17:42,3.9
25-03-19,12:35,3.2
22-03-19,17:59,2.8
21-03-19,15:03,4.9
21-03-19,2:41,2.7
20-03-19,12:44,3.4
19-03-19,6:04,2.3
19-03-19,5:04,4.7
18-03-19,22:56,3.5
18-03-19,13:23,3.3
18-03-19,9:29,3.4
18-03-19,4:24,2.8
17-03-19,22:01,3
17-03-19,20:38,2.7
17-03-19,20:11,2.5
17-03-19,19:57,2.2
17-03-19,18:06,2.1
17-03-19,17:57,3.3
17-03-19,4:42,3
16-03-19,22:06,2.7
15-03-19,2:43,3.5
14-03-19,0:10,2.4
13-03-19,9:21,3.8
12-03-19,18:16,3
11-03-19,21:30,2.4
11-03-19,15:56,4.1
11-03-19,13:44,2.9
10-03-19,2:32,3.2
10-03-19,1:34,3.6
09-03-19,7:00,3.1
09-03-19,3:13,3.8
08-03-19,12:31,3
07-03-19,23:03,2.6
06-03-19,22:51,3.8
05-03-19,19:37,3.2
05-03-19,5:17,4
04-03-19,5:22,4.5
03-03-19,12:25,3.1
02-03-19,18:22,3.3
28-02-19,15:35,3.3
28-02-19,10:07,3.9
28-02-19,8:21,4.1
28-02-19,7:22,2
28-02-19,6:57,3.4
28-02-19,2:31,2.9
28-02-19,1:13,3.8
28-02-19,0:54,4.6
27-02-19,16:56,3.7
27-02-19,4:55,3.8
25-02-19,14:07,3.4
25-02-19,13:37,2.8
25-02-19,13:12,4
25-02-19,12:35,2.7
25-02-19,7:14,2.2
24-02-19,19:49,3.5
23-02-19,3:37,3.3
22-02-19,8:57,2.5
21-02-19,8:25,2.7
19-02-19,6:08,3.5
19-02-19,3:38,3.2
18-02-19,9:27,3.7
18-02-19,8:51,2.2
16-02-19,21:13,3
15-02-19,20:38,2.8
14-02-19,14:24,3.4
14-02-19,5:36,2.4
13-02-19,23:41,5.1
13-02-19,16:38,2.3
13-02-19,15:52,2.3
13-02-19,15:27,2.4
13-02-19,13:59,3
12-02-19,12:07,2.3
11-02-19,15:13,4.1
11-02-19,6:25,2.2
11-02-19,6:08,4.3
07-02-19,10:16,2.5
06-02-19,16:49,3.2
06-02-19,1:50,3.2
05-02-19,15:13,3.8
05-02-19,9:38,2.6
03-02-19,21:25,2.3
03-02-19,9:59,3.3
02-02-19,7:02,3.8
02-02-19,5:06,3.3
01-02-19,23:07,4.7
01-02-19,12:18,3.5
28-01-19,15:57,3.5
28-01-19,14:00,3.9
27-01-19,20:40,3.1
27-01-19,17:37,3.2
27-01-19,14:27,3.4
27-01-19,0:21,3.1
25-01-19,10:19,3.3
25-01-19,9:51,3.1
24-01-19,21:24,2.9
24-01-19,18:42,2.7
24-01-19,18:10,2.9
24-01-19,17:20,2.8
24-01-19,13:17,2.8
24-01-19,12:58,2.8
21-01-19,16:01,1.9
21-01-19,16:00,1.7
21-01-19,15:55,2
21-01-19,3:53,2.8
19-01-19,19:09,2.6
19-01-19,18:54,2.1
18-01-19,10:32,3.4
18-01-19,4:03,3.7
17-01-19,16:01,3
17-01-19,7:15,3.1
16-01-19,20:39,2.8
16-01-19,2:04,3.1
15-01-19,5:16,3.5
14-01-19,17:08,2.6
14-01-19,11:27,3.3
14-01-19,9:01,3
13-01-19,22:30,3.1
13-01-19,22:28,3.6
13-01-19,22:26,3.1
13-01-19,18:57,3.1
13-01-19,18:38,4.4
13-01-19,18:36,3.7
13-01-19,6:43,3.5
12-01-19,2:47,2.9
12-01-19,2:01,2.3
11-01-19,12:07,2.4
11-01-19,10:31,2.9
11-01-19,7:02,3.6
11-01-19,6:28,3.7
11-01-19,5:27,3.3
11-01-19,5:24,3.4
11-01-19,2:58,1.8
10-01-19,23:57,1.9
10-01-19,20:02,3.6
10-01-19,16:38,3.1
10-01-19,16:30,2.8
10-01-19,16:10,3.4
10-01-19,16:08,2.8
10-01-19,15:02,3.3
10-01-19,14:04,2.9
10-01-19,13:31,2.9
10-01-19,13:16,3
10-01-19,13:14,3.2
10-01-19,13:06,3
10-01-19,13:04,2.8
10-01-19,12:01,2.9
10-01-19,11:48,3.1
10-01-19,11:44,3.1
10-01-19,11:33,2.6
10-01-19,11:29,3
10-01-19,11:24,2.9
10-01-19,11:18,4
10-01-19,11:16,3.5
10-01-19,10:54,4.1
10-01-19,10:47,3.9
10-01-19,10:38,3.3
10-01-19,10:37,3.3
10-01-19,10:26,3.1
10-01-19,10:03,3.3
10-01-19,9:59,3.1
10-01-19,8:03,3.9
10-01-19,6:59,2.9
10-01-19,5:30,3.4
09-01-19,17:06,3
09-01-19,5:04,3.5
09-01-19,3:41,3
08-01-19,21:49,3.2
08-01-19,20:28,2.2
08-01-19,14:04,3.8
08-01-19,11:26,2.8
08-01-19,9:54,5
07-01-19,15:04,4.8
07-01-19,12:24,3.6
06-01-19,15:46,3.1
06-01-19,9:27,3.3
04-01-19,14:24,2.4
04-01-19,14:07,3.2
04-01-19,13:18,3.2
04-01-19,9:59,3.4
03-01-19,19:54,3.1
03-01-19,10:58,3.7
01-01-19,2:55,3.1
